web_id,date_id,region_id,channel_id,sessions,unique_visitors,avg_session_duration_sec,bounce_rate_pct,pages_per_session,enquiry_submissions,enquiry_conversion_pct,top_landing_page,notes
WP038,202411,R01,CH03,22000,19000,106,66,2.1,330,1.5,/cargo/rates,
WP039,202411,R02,CH01,34000,26000,152,54,3.0,748,2.2,/cargo/schedules,
WP040,202411,R03,CH01,29000,22000,146,56,2.9,638,2.2,/cargo/reefer,
WP041,202411,R04,CH01,15000,10400,132,59,2.6,255,1.7,/cargo/services,Below plan
WP042,202411,R05,CH01,11000,7500,126,62,2.5,154,1.4,/cargo/services,
WP043,202412,R01,CH01,48000,36000,158,53,3.1,1056,2.2,/cargo/reefer,Dec slowdown
WP044,202412,R01,CH03,21000,18000,104,67,2.1,315,1.5,/cargo/rates,Budget paused Dec
WP045,202412,R02,CH01,32000,24000,148,56,2.8,672,2.1,/cargo/schedules,
WP046,202412,R03,CH01,28000,21000,142,58,2.8,588,2.1,/cargo/reefer,
WP047,202412,R04,CH01,14000,9600,128,61,2.5,224,1.6,/cargo/services,
WP048,202412,R05,CH01,10500,7200,124,63,2.4,147,1.4,/cargo/services,
WP049,202501,R01,CH01,52000,40000,164,51,3.3,1196,2.3,/cargo/dangerous-goods,DG campaign uplift
WP050,202501,R01,CH03,23000,20000,108,65,2.2,368,1.6,/cargo/rates,
WP051,202501,R02,CH01,35000,27000,155,53,3.0,770,2.2,/cargo/schedules,
WP052,202501,R03,CH01,30000,23000,148,55,2.9,630,2.1,/cargo/reefer,
WP053,202501,R04,CH01,15500,10800,134,58,2.7,264,1.7,/cargo/services,
WP054,202501,R05,CH01,11500,7900,128,61,2.5,161,1.4,/cargo/services,
WP055,202502,R01,CH01,55000,42000,168,49,3.4,1540,2.8,/cargo/sustainability,Digital First + ESG campaign
WP056,202502,R01,CH03,24000,21000,110,64,2.2,408,1.7,/cargo/rates,
WP057,202502,R02,CH01,37000,28000,158,52,3.1,814,2.2,/cargo/schedules,
WP058,202502,R03,CH01,32000,24500,152,54,3.0,672,2.1,/cargo/reefer,
WP059,202502,R04,CH01,16000,11200,136,57,2.7,272,1.7,/cargo/services,Flat vs plan — SEO review required
WP060,202502,R05,CH01,12000,8200,130,60,2.5,168,1.4,/cargo/services,
WP061,202503,R01,CH01,58000,44000,172,48,3.5,1682,2.9,/cargo/project-cargo,Project Cargo campaign
WP062,202503,R01,CH03,25000,22000,112,63,2.3,425,1.7,/cargo/rates,
WP063,202503,R02,CH01,39000,30000,162,51,3.1,858,2.2,/cargo/schedules,
WP064,202503,R03,CH01,33000,25000,154,53,3.0,693,2.1,/cargo/reefer,
WP065,202503,R04,CH01,16500,11500,138,56,2.8,281,1.7,/cargo/services,
WP066,202503,R05,CH01,12500,8600,132,59,2.6,175,1.4,/cargo/services,
WP067,202504,R01,CH01,62000,47000,176,46,3.6,1922,3.1,/cargo/project-cargo,Best month on record
WP068,202504,R01,CH03,26000,23000,114,62,2.3,442,1.7,/cargo/rates,
WP069,202504,R02,CH01,41000,31500,165,50,3.2,902,2.2,/cargo/schedules,
WP070,202504,R03,CH01,35000,26500,158,52,3.1,735,2.1,/cargo/reefer,
WP071,202504,R04,CH01,17000,11900,140,55,2.8,289,1.7,/cargo/services,Below target 2.5%
WP072,202504,R05,CH01,13000,9000,134,58,2.6,182,1.4,/cargo/services,Persistently below target
